Symbol,Security,GICS Sector,Location,CIK
PEG,Public Serv. Enterprise Inc.,Utilities,"Newark, New Jersey",1087423
PSA,Public Storage,Real Estate,"Glendale, California",872589
PHM,Pulte Homes Inc.,Consumer Discretionary,"Atlanta, Georgia",1281761
PVH,PVH Corp.,Consumer Discretionary,"New York, New York",1060391
QRVO,Qorvo,Information Technology,"Greensboro, North Carolina",1275283
PWR,Quanta Services Inc.,Industrials,"Houston, Texas",315213
QCOM,QUALCOMM Inc.,Information Technology,"San Diego, California",1024478
DGX,Quest Diagnostics,Health Care,"Madison, New Jersey",1137411
RJF,Raymond James Financial Inc.,Financials,"St. Petersburg, Florida",882835
RTN,Raytheon Co.,Industrials,"Waltham, Massachusetts",745732
O,Realty Income Corporation,Real Estate,"San Diego, California",884887
RHT,Red Hat Inc.,Information Technology,"Raleigh, North Carolina",85961
REG,Regency Centers Corporation,Real Estate,"Jacksonville, Florida",64040
REGN,Regeneron,Health Care,"Tarrytown, New York",1108524
RF,Regions Financial Corp.,Financials,"Birmingham, Alabama",754737
RSG,Republic Services Inc,Industrials,"Phoenix, Arizona",87347
RMD,ResMed,Health Care,"San Diego, California",1430602
RHI,Robert Half International,Industrials,"Menlo Park, California",1137789
ROK,Rockwell Automation Inc.,Industrials,"Milwaukee, Wisconsin",1012100
COL,Rockwell Collins,Industrials,"Cedar Rapids, Iowa",1032208
ROL,Rollins Inc.,Industrials,"Atlanta, Georgia",89800
ROP,Roper Technologies,Industrials,"Sarasota, Florida",832988
ROST,Ross Stores,Consumer Discretionary,"Pleasanton, California",1063761
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Miami, Florida",4127
CRM,Salesforce.com,Information Technology,"San Francisco, California",1040971
SBAC,SBA Communications,Real Estate,"Boca Raton, Florida",91440
SCG,SCANA Corp,Utilities,"Cayce, South Carolina",92122
SLB,Schlumberger Ltd.,Energy,Curaçao,92380
STX,Seagate Technology,Information Technology,"Dublin, Ireland",7332
